Date,Open,High,Low,Close,Volume,Open Interest
2017-12-13,1.00415,1.00415,1.00415,1.00415,0,0
2017-12-14,1.00625,1.00625,1.00625,1.00625,0,0
2017-12-15,1.00155,1.00155,1.00155,1.00155,0,0
2017-12-18,1.0017,1.0017,1.0017,1.0017,0,0
2017-12-19,1.00035,1.00035,1.00035,1.00035,0,0
2017-12-20,0.99525,0.99525,0.99525,0.99525,0,0
2017-12-21,0.99695,0.99695,0.99695,0.99695,0,0
2017-12-22,0.9989,0.9989,0.9989,0.9989,0,0
2017-12-26,0.99905,0.99905,0.99905,0.99905,0,0
2017-12-27,0.9958,0.9958,0.9958,0.9958,0,0
2017-12-28,0.9994,0.9994,0.9994,0.9994,0,0
2017-12-29,1.0012,1.0012,1.0012,1.0012,0,0
2018-01-02,1.0055,1.0055,1.0055,1.0055,0,0
2018-01-03,1.0013,1.0013,1.0013,1.0013,0,0
2018-01-04,1.001,1.001,1.001,1.001,0,0
2018-01-05,0.998,0.998,0.998,0.998,0,0
2018-01-08,0.99825,0.99825,0.99825,0.99825,0,0
2018-01-09,1.00275,1.00275,1.00275,1.00275,0,0
2018-01-10,1.0145,1.0145,1.0145,1.0145,0,0
2018-01-11,1.01765,1.01765,1.01765,1.01765,0,0
2018-01-12,1.0184,1.0184,1.0184,1.0184,0,0
2018-01-16,1.02625,1.02625,1.02625,1.02625,0,0
2018-01-17,1.02045,1.02045,1.02045,1.02045,0,0
2018-01-18,1.0226,1.0226,1.0226,1.0226,0,0
2018-01-19,1.0274,1.0274,1.0274,1.0274,0,0
2018-01-22,1.0252,1.0252,1.0252,1.0252,0,0
2018-01-23,1.0285,1.0285,1.0285,1.0285,0,0
2018-01-24,1.0403,1.0403,1.0403,1.0403,0,0
2018-01-25,1.037,1.037,1.037,1.037,0,0
2018-01-26,1.0465,1.0465,1.0465,1.0465,0,0
2018-01-29,1.045,1.045,1.045,1.045,0,0
2018-01-30,1.0464,1.0464,1.0464,1.0464,0,0
2018-01-31,1.04455,1.04455,1.04455,1.04455,0,0
2018-02-01,1.0428,1.0428,1.0428,1.0428,0,0
2018-02-02,1.03695,1.03695,1.03695,1.03695,0,0
2018-02-05,1.0404,1.0404,1.0404,1.0404,0,0
2018-02-06,1.0425,1.0425,1.0425,1.0425,0,0
2018-02-07,1.04265,1.04265,1.04265,1.04265,0,0
2018-02-08,1.0491,1.0491,1.0491,1.0491,0,0
2018-02-09,1.05105,1.05105,1.05105,1.05105,0,0
2018-02-12,1.05145,1.05145,1.05145,1.05145,0,0
2018-02-13,1.06135,1.06135,1.06135,1.06135,0,0
2018-02-14,1.07025,1.07025,1.07025,1.07025,0,0
2018-02-15,1.0784,1.0784,1.0784,1.0784,0,0
2018-02-16,1.07735,1.07735,1.07735,1.07735,0,0
2018-02-20,1.06975,1.06975,1.06975,1.06975,0,0
2018-02-21,1.06575,1.06575,1.06575,1.06575,0,0
2018-02-22,1.0771,1.0771,1.0771,1.0771,0,0
2018-02-23,1.0738,1.0738,1.0738,1.0738,0,0
2018-02-26,1.0707,1.0707,1.0707,1.0707,0,0
2018-02-27,1.06905,1.06905,1.06905,1.06905,0,0
2018-02-28,1.0742,1.0742,1.0742,1.0742,0,0
2018-03-01,1.0763,1.0763,1.0763,1.0763,0,0
2018-03-02,1.0831,1.0831,1.0831,1.0831,0,0
2018-03-05,1.0779,1.0779,1.0779,1.0779,0,0
2018-03-06,1.0787,1.0787,1.0787,1.0787,0,0
2018-03-07,1.0803,1.0803,1.0803,1.0803,0,0
2018-03-08,1.07715,1.07715,1.07715,1.07715,0,0
2018-03-09,1.0737,1.0737,1.0737,1.0737,0,0
2018-03-12,1.07705,1.07705,1.07705,1.07705,0,0
2018-03-13,1.074,1.074,1.074,1.074,0,0
2018-03-14,1.07665,1.07665,1.07665,1.07665,0,0
2018-03-15,1.07605,1.07605,1.07605,1.07605,0,0
2018-03-16,1.079,1.079,1.079,1.079,0,0
2018-03-19,1.0795,1.0795,1.0795,1.0795,0,0
2018-03-20,1.0756,1.0756,1.0756,1.0756,0,0
2018-03-21,1.07965,1.07965,1.07965,1.07965,0,0
2018-03-22,1.08195,1.08195,1.08195,1.08195,0,0
2018-03-23,1.09025,1.09025,1.09025,1.09025,0,0
2018-03-26,1.0859,1.0859,1.0859,1.0859,0,0
2018-03-27,1.0803,1.0803,1.0803,1.0803,0,0
2018-03-28,1.066,1.066,1.066,1.066,0,0
2018-03-29,1.06865,1.06865,1.06865,1.06865,0,0
2018-04-02,1.075,1.075,1.075,1.075,0,0
2018-04-03,1.06855,1.06855,1.06855,1.06855,0,0
2018-04-04,1.0679,1.0679,1.0679,1.0679,0,0
2018-04-05,1.0616,1.0616,1.0616,1.0616,0,0
2018-04-06,1.06525,1.06525,1.06525,1.06525,0,0
2018-04-09,1.06615,1.06615,1.06615,1.06615,0,0
2018-04-10,1.0624,1.0624,1.0624,1.0624,0,0
2018-04-11,1.0645,1.0645,1.0645,1.0645,0,0
2018-04-12,1.06365,1.06365,1.06365,1.06365,0,0
2018-04-13,1.0622,1.0622,1.0622,1.0622,0,0
2018-04-16,1.06535,1.06535,1.06535,1.06535,0,0
2018-04-17,1.06545,1.06545,1.06545,1.06545,0,0
2018-04-18,1.06445,1.06445,1.06445,1.06445,0,0
2018-04-19,1.06355,1.06355,1.06355,1.06355,0,0
2018-04-20,1.06265,1.06265,1.06265,1.06265,0,0
2018-04-23,1.05385,1.05385,1.05385,1.05385,0,0
2018-04-24,1.0525,1.0525,1.0525,1.0525,0,0
2018-04-25,1.04645,1.04645,1.04645,1.04645,0,0
2018-04-26,1.04595,1.04595,1.04595,1.04595,0,0
2018-04-27,1.0486,1.0486,1.0486,1.0486,0,0
2018-04-30,1.0461,1.0461,1.0461,1.0461,0,0
2018-05-01,1.0412,1.0412,1.0412,1.0412,0,0
2018-05-02,1.04225,1.04225,1.04225,1.04225,0,0
2018-05-03,1.0458,1.0458,1.0458,1.0458,0,0
2018-05-04,1.04685,1.04685,1.04685,1.04685,0,0
2018-05-07,1.04785,1.04785,1.04785,1.04785,0,0
2018-05-08,1.0479,1.0479,1.0479,1.0479,0,0
2018-05-09,1.0417,1.0417,1.0417,1.0417,0,0
2018-05-10,1.04435,1.04435,1.04435,1.04435,0,0
2018-05-11,1.0446,1.0446,1.0446,1.0446,0,0
2018-05-14,1.04095,1.04095,1.04095,1.04095,0,0
2018-05-15,1.03695,1.03695,1.03695,1.03695,0,0
2018-05-16,1.0387,1.0387,1.0387,1.0387,0,0
2018-05-17,1.03375,1.03375,1.03375,1.03375,0,0
2018-05-18,1.03315,1.03315,1.03315,1.03315,0,0
2018-05-21,1.02975,1.02975,1.02975,1.02975,0,0
2018-05-22,1.0309,1.0309,1.0309,1.0309,0,0
2018-05-23,1.0389,1.0389,1.0389,1.0389,0,0
2018-05-24,1.0434,1.0434,1.0434,1.0434,0,0
2018-05-25,1.04105,1.04105,1.04105,1.04105,0,0
2018-05-29,1.04825,1.04825,1.04825,1.04825,0,0
2018-05-30,1.0432,1.0432,1.0432,1.0432,0,0
2018-05-31,1.04535,1.04535,1.04535,1.04535,0,0
2018-06-01,1.0393,1.0393,1.0393,1.0393,0,0
2018-06-04,1.0387,1.0387,1.0387,1.0387,0,0
2018-06-05,1.0373,1.0373,1.0373,1.0373,0,0
2018-06-06,1.0355,1.0355,1.0355,1.0355,0,0
2018-06-07,1.03785,1.03785,1.03785,1.03785,0,0
2018-06-08,1.0404,1.0404,1.0404,1.0404,0,0
2018-06-11,1.0372,1.0372,1.0372,1.0372,0,0
2018-06-12,1.0335,1.0335,1.0335,1.0335,0,0
2018-06-13,1.0309,1.0309,1.0309,1.0309,0,0
2018-06-14,1.0306,1.0306,1.0306,1.0306,0,0
2018-06-15,1.0297,1.0297,1.0297,1.0297,0,0
2018-06-18,1.03105,1.03105,1.03105,1.03105,0,0
2018-06-19,1.03335,1.03335,1.03335,1.03335,0,0
2018-06-20,1.03075,1.03075,1.03075,1.03075,0,0
2018-06-21,1.03505,1.03505,1.03505,1.03505,0,0
2018-06-22,1.03535,1.03535,1.03535,1.03535,0,0
2018-06-25,1.0384,1.0384,1.0384,1.0384,0,0
2018-06-26,1.03085,1.03085,1.03085,1.03085,0,0
2018-06-27,1.0291,1.0291,1.0291,1.0291,0,0
2018-06-28,1.0258,1.0258,1.0258,1.0258,0,0
2018-06-29,1.02275,1.02275,1.02275,1.02275,0,0
2018-07-02,1.0237,1.0237,1.0237,1.0237,0,0
2018-07-03,1.025,1.025,1.025,1.025,0,0
2018-07-05,1.02425,1.02425,1.02425,1.02425,0,0
2018-07-06,1.02615,1.02615,1.02615,1.02615,0,0
2018-07-09,1.0233,1.0233,1.0233,1.0233,0,0
2018-07-10,1.019,1.019,1.019,1.019,0,0
